 	Hpseu	Dicsq	Stehi	Punst	Fomme	Trave	Glotr	Conpu	Serla	Hetan	Schco	Phchr	Copci	Aurde	Crypa	Aspni	Stano	Ustma	Wolco	Pospl	Fompi	Dacsp	Trire	Phybl	Lacbi	Treme	Sporo	Mellp	Cryne	Malgl	Picst	Batde
GH28-group-2	0	1	5	4	3	2	2	4	1	2	1	1	0	1	8	7	2	1	2	2	4	1	1	0	3	0	0	0	0	0	0	0
GH28-group-3	0	5	9	8	8	6	7	8	5	5	2	2	3	8	10	9	2	0	6	4	6	5	3	9	4	0	0	0	1	0	0	0
GH3-b-glucosid-group-3	1	3	7	8	4	6	4	4	4	5	4	2	4	7	10	9	8	3	2	1	7	1	6	2	2	2	2	3	2	1	1	0
GH3-b-N-acetyl-glucosaminid	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	3	1	0	1	0	0	1	2	1	0	0	0	0	0	0	1	0
GH3-b-xylosidases	0	1	2	0	0	2	1	2	1	1	2	1	0	1	1	1	2	0	1	1	2	1	2	0	0	0	0	0	0	0	0	0
GH3-group-1-and-2	1	3	6	4	3	3	4	6	4	5	5	6	3	4	4	6	6	0	4	3	3	6	3	0	0	1	1	0	5	0	6	1
GH5-group-1-endogluc	0	3	3	3	3	3	2	5	3	3	2	2	1	4	5	3	3	0	2	3	3	3	2	0	1	0	0	4	0	0	0	1
GH5-group-2-mannan	0	2	3	3	3	2	3	3	5	4	1	3	5	4	2	1	2	1	2	2	2	2	1	1	2	0	2	3	0	0	0	0
GH61-group-1	0	7	8	9	6	9	1	2	2	6	12	8	22	10	4	3	19	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
GH61-group-2	0	8	8	5	7	9	3	8	3	4	10	7	13	9	8	4	10	0	2	2	2	0	2	0	4	0	0	0	1	0	0	0
GH-74	0	1	2	2	4	1	1	0	1	1	1	4	1	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GH-10	0	5	6	5	4	6	4	3	1	2	5	6	6	4	4	2	7	2	4	2	2	3	1	0	0	0	0	6	0	0	1	0
GH-6	0	1	1	1	2	1	0	2	1	1	1	1	5	2	2	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GH-7	0	3	3	5	2	4	0	2	0	1	2	8	6	6	5	2	5	0	0	0	0	0	2	0	0	0	0	9	0	0	0	0
GLP	0	6	11	6	8	2	6	11	3	1	7	3	0	1	0	0	0	0	10	5	10	3	0	0	1	0	0	2	0	0	0	0
HTP-1	0	0	1	1	0	0	0	0	0	0	0	0	5	10	0	1	8	2	0	0	0	4	0	0	1	0	0	12	0	0	0	0
HTP-2	0	2	4	5	3	1	5	1	2	4	1	2	1	3	0	0	0	0	3	1	2	0	0	0	2	0	0	0	0	0	0	0
HTP-3	0	2	5	2	1	2	1	1	1	1	2	1	2	3	2	4	5	1	2	1	2	2	4	0	2	0	0	5	0	0	0	0
L-ascor-oxid	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	1	3	0	1	0	3	0	0	0	0
Lacc-Bas-Asco	0	11	15	12	10	7	3	6	4	13	2	0	17	7	10	7	3	0	3	3	5	0	1	0	9	0	0	0	0	0	0	0
OXO-DEC	0	5	3	2	3	5	4	2	3	3	5	7	1	3	2	2	3	0	4	5	5	2	3	0	1	0	0	1	0	0	0	0
POD	0	12	6	11	17	26	0	0	0	8	0	16	1	19	1	0	5	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0
QRD	0	1	1	3	3	1	3	2	2	2	4	4	3	4	1	1	1	1	1	1	1	1	1	4	2	1	1	1	2	0	4	1
related-to-melanin-synthesis-enzymes	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	3	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
